                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3998,                0.60613,                0.97625,                 1.7672,             0.00023715,             0.00023715,             0.00023715
                      2,                 1.0466,                0.60383,                0.97931,                 1.7409,             0.00047044,             0.00047044,             0.00047044
                      3,                0.89451,                0.67356,                0.98391,                 1.6764,             0.00069903,             0.00069903,             0.00069903
                      4,                0.73854,                0.64215,                0.98467,                 1.6772,             0.00069279,             0.00069279,             0.00069279
                      5,                0.55428,                0.64751,                0.98008,                 1.6639,             0.00069279,             0.00069279,             0.00069279
                      6,                0.39834,                0.65134,                0.98161,                 1.6533,             0.00068573,             0.00068573,             0.00068573
                      7,                0.27795,                0.64828,                0.98697,                 1.6517,             0.00067866,             0.00067866,             0.00067866
                      8,                0.20433,                0.65747,                0.97548,                 1.6325,             0.00067159,             0.00067159,             0.00067159
                      9,                0.14265,                 0.6636,                0.98008,                  1.624,             0.00066452,             0.00066452,             0.00066452
                     10,                0.11666,                0.64368,                0.97701,                 1.6349,             0.00065745,             0.00065745,             0.00065745
                     11,                0.09573,                0.64598,                0.97548,                 1.6352,             0.00065038,             0.00065038,             0.00065038
                     12,                 0.0799,                0.65287,                0.98084,                 1.6274,             0.00064331,             0.00064331,             0.00064331
                     13,                0.09219,                0.64674,                0.98161,                 1.6311,             0.00063625,             0.00063625,             0.00063625
                     14,                0.07651,                0.63755,                0.98084,                  1.642,             0.00062918,             0.00062918,             0.00062918
                     15,                 0.0587,                0.66667,                0.98238,                  1.612,             0.00062211,             0.00062211,             0.00062211
                     16,                0.05072,                0.64598,                0.98161,                 1.6278,             0.00061504,             0.00061504,             0.00061504
                     17,                0.03907,                0.65211,                0.97931,                   1.63,             0.00060797,             0.00060797,             0.00060797
                     18,                0.05349,                0.63908,                0.97395,                 1.6406,              0.0006009,              0.0006009,              0.0006009
                     19,                0.03218,                0.65824,                0.97701,                 1.6256,             0.00059383,             0.00059383,             0.00059383
                     20,                0.03114,                0.67126,                0.98084,                 1.6062,             0.00058677,             0.00058677,             0.00058677
